"url","title","instructors","topics","departments","resource_types","year","id","date","level"
"https://ocw.mit.edu/courses/14-01sc-principles-of-microeconomics-fall-2011/","Principles of Microeconomics","Prof. Jonathan Gruber","Social Science, Economics, Microeconomics","Economics","Lecture Videos, Recitation Videos, Problem Sets with Solutions, Exams with Solutions, Exams, Lecture Notes, Exam Materials, Problem Sets","2011","14.01SC","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/7-01sc-fundamentals-of-biology-fall-2011/","Fundamentals of Biology","Prof. Eric Lander, Prof. Robert Weinberg, Prof. Tyler Jacks, Prof. Hazel Sive, Prof. Graham Walker, Prof. Sallie Chisholm, Dr. Michelle Mischke","Science, Biology","Biology","Problem Sets with Solutions, Exams with Solutions, Lecture Videos, Problem Sets, Exams, Tutorial Videos, Lecture Notes","2011","7.01SC","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/8-03sc-physics-iii-vibrations-and-waves-fall-2016/","Physics III: Vibrations and Waves","Prof. Yen-Jie Lee","Science, Physics, Atomic, Molecular, Optical Physics, Classical Mechanics, Electromagnetism","Physics","Lecture Videos, Lecture Notes, Problem Sets, Instructor Insights, Exams","2016","8.03SC","Fall 2016","Undergraduate"
"https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/","Introduction to Solid-State Chemistry","Prof. Jeffrey Grossman","Engineering, Chemical Engineering, Materials Science and Engineering, Science, Chemistry","Materials Science and Engineering","Lecture Videos, Tutorial Videos, Problem Sets with Solutions, Exams, Online Textbook, Instructor Insights","2018","3.091","Fall 2018","Undergraduate"
"https://ocw.mit.edu/courses/6-849-geometric-folding-algorithms-linkages-origami-polyhedra-fall-2012/","Geometric Folding Algorithms: Linkages, Origami, Polyhedra","Prof. Erik Demaine","Engineering, Computer Science, Algorithms and Data Structures, Fine Arts, Visual Arts, Mathematics, Topology and Geometry","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets with Solutions, Projects, Instructor Insights","2012","6.849","Fall 2012","Graduate"
"https://ocw.mit.edu/courses/sts-081-innovation-systems-for-science-technology-energy-manufacturing-and-health-spring-2017/","Innovation Systems for Science, Technology, Energy, Manufacturing, and Health","William Bonvillian","Engineering, Systems Engineering, Social Science, Economics, Public Economics, Society","Science, Technology, and Society, Political Science","Lecture Videos, Written Assignments, Lecture Notes","2017","STS.081","Spring 2017","Undergraduate"
"https://ocw.mit.edu/courses/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003/","Information Technology as an Integrating Force in Manufacturing","Prof. Brian Subirana","Business, Information Technology, Operations Management","Sloan School of Management","Lecture Videos, Lecture Notes, Written Assignments","2003","15.566","Spring 2003","Graduate"
"https://ocw.mit.edu/courses/11-309j-sensing-place-photography-as-inquiry-fall-2012/","Sensing Place: Photography as Inquiry","Prof. Anne Whiston Spirn","Fine Arts, Architecture, Environmental Design, Visual Arts, Photography, Social Science, Urban Studies, Urban Planning","Urban Studies and Planning, Architecture","Lecture Videos, Written Assignments with Examples","2012","11.309J","Fall 2012","Graduate"
"https://ocw.mit.edu/courses/mas-771-autism-theory-and-technology-spring-2011/","Autism Theory and Technology","Prof. Rosalind W. Picard, Dr. Matthew Goodwin","Engineering, Computer Science, Human-Computer Interfaces, Health and Medicine, Mental Health, Social Science, Psychology, Teaching and Education, Educational Technology","Media Arts and Sciences","Projects, Lecture Videos","2011","MAS.771","Spring 2011","Graduate"
"https://ocw.mit.edu/courses/res-6-010-electronic-feedback-systems-spring-2013/","Electronic Feedback Systems","James Roberge","Engineering, Electrical Engineering, Electronics","Supplemental Resources","Lecture Videos, Online Textbook, Problem Sets with Solutions","2013","RES.6-010","Spring 2013","Undergraduate"
"https://ocw.mit.edu/courses/7-014-introductory-biology-spring-2005/","Introductory Biology","Prof. Graham Walker, Dr. Julia Khodor, Dr. Michelle Mischke, Prof. Penny Chisholm","Science, Biology","Biology","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Lecture Notes","2005","7.014","Spring 2005","Undergraduate"
"https://ocw.mit.edu/courses/18-650-statistics-for-applications-fall-2016/","Statistics for Applications ","Prof. Philippe Rigollet","Mathematics, Probability and Statistics","Mathematics","Lecture Notes, Lecture Videos, Problem Sets","2016","18.650","Fall 2016","Undergraduate"
"https://ocw.mit.edu/courses/18-s191-introduction-to-computational-thinking-fall-2022/","Introduction to Computational Thinking","Prof. Alan Edelman, Prof. David P. Sanders, Prof. Charles Leiserson","Energy, Climate, Engineering, Computer Science, Algorithms and Data Structures, Computer Design and Engineering, Computer Networks, Mathematics, Applied Mathematics, Computation","Mathematics, Civil and Environmental Engineering, Electrical Engineering and Computer Science, Earth, Atmospheric, and Planetary Sciences, Aeronautics and Astronautics, Nuclear Science and Engineering","Lecture Videos, Problem Sets, Programming Assignments","2022","18.S191","Fall 2022","Undergraduate"
"https://ocw.mit.edu/courses/15-356-how-to-develop-breakthrough-products-and-services-spring-2004/","How to Develop ""Breakthrough"" Products and Services","Prof. Eric von Hippel","Business, Entrepreneurship, Innovation, Marketing, Engineering, Systems Engineering, Systems Design","Sloan School of Management","Lecture Videos, Lecture Notes, Written Assignments","2004","15.356","Spring 2004","Graduate"
"https://ocw.mit.edu/courses/5-95j-teaching-college-level-science-and-engineering-spring-2009/","Teaching College-Level Science and Engineering","Sanjoy Mahajan","Engineering, Science, Teaching and Education, Curriculum and Teaching, Higher Education","Chemistry, Electrical Engineering and Computer Science, Biology, Physics, Mathematics","Lecture Videos, Problem Sets","2009","5.95J","Spring 2009","Graduate"
"https://ocw.mit.edu/courses/18-s997-introduction-to-matlab-programming-fall-2011/","Introduction To MATLAB Programming","Yossi Farjoun","Engineering, Computer Science, Programming Languages, Systems Engineering, Computational Modeling and Simulation, Mathematics, Applied Mathematics","Mathematics","Problem Sets, Lecture Videos, Online Textbook, Programming Assignments with Examples","2011","18.S997","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/6-046j-introduction-to-algorithms-sma-5503-fall-2005/","Introduction to Algorithms (SMA 5503)","Prof. Charles Leiserson, Prof. Erik Demaine","Engineering, Computer Science, Algorithms and Data Structures","Electrical Engineering and Computer Science, Mathematics","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Lecture Notes, Programming Assignments with Examples","2005","6.046J","Fall 2005","Undergraduate"
"https://ocw.mit.edu/courses/21m-380-music-and-technology-contemporary-history-and-aesthetics-fall-2009/","Music and Technology (Contemporary History and Aesthetics)","Prof. Christopher Ariza","Fine Arts, Media Studies, Digital Media, Music, Music History, Music Theory","Music and Theater Arts","Lecture Videos, Music, Lecture Notes, Projects with Examples","2009","21M.380","Fall 2009","Undergraduate"
"https://ocw.mit.edu/courses/res-cms-502-competency-based-education-the-why-what-and-how-spring-2020/","Competency-Based Education: The Why, What, and How","Prof. Justin Reich, Elizabeth Huttner-Loan","Teaching and Education","Supplemental Resources","Lecture Videos, Activity Assignments","2020","RES.CMS-502","Spring 2020","Non Credit"
"https://ocw.mit.edu/courses/22-011-nuclear-engineering-science-systems-and-society-spring-2020/","Nuclear Engineering: Science, Systems and Society","Dr. Marina Dang, Prof. Michael Short, Prof. Anne E. White","Energy, Climate, Hydrogen and Alternatives, Nuclear, Technology, Social Science, Communication","Nuclear Science and Engineering","Instructor Insights, Lecture Notes, Lecture Videos","2020","22.011","Spring 2020","Undergraduate"
"https://ocw.mit.edu/courses/8-333-statistical-mechanics-i-statistical-mechanics-of-particles-fall-2013/","Statistical Mechanics I:  Statistical Mechanics of Particles","Prof. Mehran Kardar","Mathematics, Probability and Statistics, Science, Physics, Particle Physics, Quantum Mechanics, Thermodynamics","Physics","Lecture Videos, Problem Sets, Lecture Notes","2013","8.333","Fall 2013","Graduate"
"https://ocw.mit.edu/courses/res-16-001-lean-enterprise-en-espanol-january-iap-2012/","Lean Enterprise en Español","Earll Murman, Hugh McManus, Luis Fernando Alarcón Cardenas, Isabel Alarcón González","Business, Health Care Management, Leadership, Operations Management, Project Management","Supplemental Resources","Lecture Videos, Lecture Notes, Activity Assignments","2012","RES.16-001","January IAP 2012","Undergraduate"
"https://ocw.mit.edu/courses/18-01-single-variable-calculus-fall-2006/","Single Variable Calculus","Prof. David Jerison","Mathematics, Calculus, Differential Equations","Mathematics","Problem Sets, Exams with Solutions, Lecture Notes, Lecture Videos","2006","18.01","Fall 2006","Undergraduate"
"https://ocw.mit.edu/courses/2-830j-control-of-manufacturing-processes-sma-6303-spring-2008/","Control of Manufacturing Processes (SMA 6303)","Prof. David Hardt, Prof. Duane Boning","Engineering, Chemical Engineering, Process Control Systems, Mechanical Engineering, Microtechnology, Nanotechnology, Systems Engineering, Mathematics, Probability and Statistics","Mechanical Engineering, Electrical Engineering and Computer Science, Engineering Systems Division","Demonstration Videos, Problem Sets with Solutions, Exams with Solutions, Lecture Notes, Lecture Videos, Written Assignments with Examples","2008","2.830J","Spring 2008","Graduate"
"https://ocw.mit.edu/courses/pe-210-scuba-spring-2007/","SCUBA","Prof. Halston Taylor","Health and Medicine, Physical Education and Recreation","Athletics, Physical Education and Recreation","Lecture Videos, Demonstration Videos","2007","PE.210","Spring 2007","Undergraduate"
"https://ocw.mit.edu/courses/res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2017/","Climate Action Hands-On: Harnessing Science with Communities to Cut Carbon","David Damm-Luhr, Rajesh Kasturirangan, Zeyneb Magavi, Chris Nidel, Nathan Phillips, Audrey Schulman, Britta Voss, Jeff Warren, Ory Zik","Energy, Climate, Fossil Fuels, Engineering, Environmental Engineering, Environmental Management, Social Science, Public Administration, Environmental Policy","Supplemental Resources","Image Gallery, Lecture Videos, Workshop Videos, Video Materials, Lecture Notes","2017","RES.ENV-001","January IAP 2017","Non Credit"
"https://ocw.mit.edu/courses/7-016-introductory-biology-fall-2018/","Introductory Biology","Prof. Barbara Imperiali, Prof. Adam Martin, Dr. Diviya Ray","Health and Medicine, Cancer, Functional Genomics, Science, Biology, Biochemistry, Cell Biology, Genetics, Microbiology, Molecular Biology, Virology","Biology","Problem Sets with Solutions, Exams with Solutions, Lecture Videos","2018","7.016","Fall 2018","Undergraduate"
"https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/","Quantum Physics III","Prof. Barton Zwiebach","Science, Physics, Quantum Mechanics, Theoretical Physics","Physics","Lecture Videos, Problem Sets, Lecture Notes, Projects","2018","8.06","Spring 2018","Undergraduate"
"https://ocw.mit.edu/courses/10-34-numerical-methods-applied-to-chemical-engineering-fall-2015/","Numerical Methods Applied to Chemical Engineering","Prof. William Green, Jr., Prof. James W. Swan","Engineering, Chemical Engineering, Computer Science, Data Mining, Systems Engineering, Computational Modeling and Simulation, Mathematics, Applied Mathematics","Chemical Engineering","Lecture Notes, Programming Assignments, Lecture Videos, Exams with Solutions","2015","10.34","Fall 2015","Graduate"
"https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/","Probabilistic Systems Analysis and Applied Probability","Prof. John Tsitsiklis","Engineering, Systems Engineering, Mathematics, Discrete Mathematics, Probability and Statistics","Electrical Engineering and Computer Science","Problem Sets with Solutions, Exams with Solutions, Lecture Videos","2010","6.041","Fall 2010","Undergraduate"
"https://ocw.mit.edu/courses/15-s21-nuts-and-bolts-of-business-plans-january-iap-2014/","Nuts and Bolts of Business Plans","Joseph Hadzima","Business, Entrepreneurship, Finance, Innovation, Management","Sloan School of Management","Lecture Videos, Written Assignments, Lecture Notes, Instructor Insights","2014","15.S21","January IAP 2014","Graduate"
"https://ocw.mit.edu/courses/18-086-mathematical-methods-for-engineers-ii-spring-2006/","Mathematical Methods for Engineers II","Prof. Gilbert Strang","Engineering, Systems Engineering, Computational Science and Engineering, Mathematics, Applied Mathematics, Differential Equations, Linear Algebra","Mathematics","Lecture Videos, Projects with Examples, Problem Sets with Solutions","2006","18.086","Spring 2006","Graduate"
"https://ocw.mit.edu/courses/21g-223-listening-speaking-and-pronunciation-fall-2004/","Listening, Speaking, and Pronunciation","Isaiah WonHo Yoo","Humanities, Language, English as a Second Language","Global Studies and Languages","Lecture Videos","2004","21G.223","Fall 2004","Undergraduate, Graduate"
"https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/","Signals and Systems","Prof. Dennis Freeman","Engineering, Electrical Engineering, Digital Systems, Signal Processing","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Online Textbook, Lecture Notes","2011","6.003","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/2-993-special-topics-in-mechanical-engineering-the-art-and-science-of-boat-design-january-iap-2007/","Special Topics in Mechanical Engineering: The Art and Science of Boat Design","Christopher Dewart, Kurt Hasselbalch, Prof. Nicholas Patrikalakis, Reuben Smith, Antonio Dias","Engineering, Mechanical Engineering, Mechanical Design, Ocean Engineering","Mechanical Engineering","Lecture Videos, Image Gallery","2007","2.993","January IAP 2007","Undergraduate"
"https://ocw.mit.edu/courses/21h-931-seminar-in-historical-methods-spring-2004/","Seminar in Historical Methods","Prof. Anne McCants","Humanities, History, Comparative History, Historical Methods, Historiography","History","Lecture Videos, Written Assignments with Examples","2004","21H.931","Spring 2004","Undergraduate"
"https://ocw.mit.edu/courses/6-02-introduction-to-eecs-ii-digital-communication-systems-fall-2012/","Introduction to EECS II: Digital Communication Systems","Prof. Hari Balakrishnan, Prof. George Verghese","Engineering, Computer Science, Computer Networks, Electrical Engineering, Digital Systems, Signal Processing, Telecommunications","Electrical Engineering and Computer Science","Problem Sets, Exams, Lecture Notes, Online Textbook, Lecture Videos","2012","6.02","Fall 2012","Undergraduate"
"https://ocw.mit.edu/courses/4-125-architecture-studio-building-in-landscapes-fall-2002/","Architecture Studio: Building in Landscapes","Prof. Jan Wampler","Fine Arts, Architecture, Architectural Design, Environmental Design","Architecture","Lecture Videos, Projects with Examples, Design Assignments with Examples","2002","4.125","Fall 2002","Undergraduate"
"https://ocw.mit.edu/courses/15-s50-how-to-win-at-texas-holdem-poker-january-iap-2016/","How to Win at Texas Hold'em Poker","Will Ma","Mathematics, Probability and Statistics","Sloan School of Management","Lecture Videos, Problem Sets with Solutions, Lecture Notes","2016","15.S50","January IAP 2016","Graduate"
"https://ocw.mit.edu/courses/11-954-community-owned-enterprise-and-civic-participation-spring-2005/","Community-Owned Enterprise and Civic Participation","Prof. J. Phillip Thompson","Social Science, Economics, Public Economics, Political Science, Public Administration, Public Policy, Sociology, Community Development","Urban Studies and Planning","Lecture Videos, Written Assignments","2005","11.954","Spring 2005","Graduate"
"https://ocw.mit.edu/courses/4-301-introduction-to-the-visual-arts-spring-2007/","Introduction to the Visual Arts","Prof. Joe Zane","Fine Arts, Visual Arts","Architecture","Lecture Videos, Image Gallery, Projects with Examples","2007","4.301","Spring 2007","Undergraduate"
"https://ocw.mit.edu/courses/6-451-principles-of-digital-communication-ii-spring-2005/","Principles of Digital Communication II","Prof. David Forney","Engineering, Electrical Engineering, Digital Systems, Telecommunications","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Lecture Notes","2005","6.451","Spring 2005","Graduate"
"https://ocw.mit.edu/courses/4-303-the-production-of-space-art-architecture-and-urbanism-in-dialogue-fall-2006/","The Production of Space: Art, Architecture and Urbanism in Dialogue","Prof. Ute Meta Bauer","Fine Arts, Architecture, Environmental Design, Visual Arts, Social Science, Urban Studies","Architecture","Lecture Videos, Lecture Notes, Projects","2006","4.303","Fall 2006","Graduate"
"https://ocw.mit.edu/courses/15-401-finance-theory-i-fall-2008/","Finance Theory I","Prof. Andrew Lo","Business, Finance, Social Science, Economics, Financial Economics","Sloan School of Management","Exams with Solutions, Lecture Notes, Lecture Videos, Problem Sets with Solutions","2008","15.401","Fall 2008","Graduate"
"https://ocw.mit.edu/courses/6-912-introduction-to-copyright-law-january-iap-2006/","Introduction to Copyright Law","Keith Winstein","Social Science, Legal Studies","Electrical Engineering and Computer Science","Lecture Videos","2006","6.912","January IAP 2006","Undergraduate"
"https://ocw.mit.edu/courses/14-772-development-economics-macroeconomics-spring-2013/","Development Economics: Macroeconomics","Prof. Robert M. Townsend","Social Science, Economics, Developmental Economics, Econometrics, Macroeconomics, Microeconomics","Economics","Lecture Videos, Problem Sets with Solutions, Lecture Notes","2013","14.772","Spring 2013","Graduate"
"https://ocw.mit.edu/courses/24-261-philosophy-of-love-in-the-western-world-fall-2004/","Philosophy of Love in the Western World","Prof. Irving Singer","Humanities, Literature, Philosophy","Linguistics and Philosophy","Lecture Videos","2004","24.261","Fall 2004","Undergraduate"
"https://ocw.mit.edu/courses/res-15-003-shaping-the-future-of-work-15-662x-spring-2016/","Shaping the Future of Work (15.662x)","Prof. Thomas A. Kochan","Business, Industrial Relations and Human Resource Management, Social Science, Economics, Industrial Organization, Labor Economics, Public Administration, Social Welfare","Supplemental Resources","Lecture Videos, Online Textbook, Instructor Insights","2016","RES.15-003","Spring 2016","Graduate"
"https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/","Introduction to Computer Science and Programming in Python","Dr. Ana Bell, Prof. Eric Grimson, Prof. John Guttag","Engineering, Computer Science, Algorithms and Data Structures, Programming Languages","Electrical Engineering and Computer Science","Problem Sets, Lecture Notes, Lecture Videos, Programming Assignments with Examples","2016","6.0001","Fall 2016","Undergraduate"
"https://ocw.mit.edu/courses/2-627-fundamentals-of-photovoltaics-fall-2013/","Fundamentals of Photovoltaics","Prof. Tonio Buonassisi","Business, Innovation, Energy, Electricity, Renewables, Engineering, Chemical Engineering, Transport Processes, Electrical Engineering, Electric Power, Materials Science and Engineering, Electronic Materials, Science, Physics, Atomic, Molecular, Optical Physics","Mechanical Engineering","Lecture Videos, Tutorial Videos, Problem Sets, Lecture Notes, Projects with Examples, Problem Sets with Solutions","2013","2.627","Fall 2013","Undergraduate"
"https://ocw.mit.edu/courses/8-422-atomic-and-optical-physics-ii-spring-2013/","Atomic and Optical Physics II","Prof. Wolfgang Ketterle","Science, Physics, Atomic, Molecular, Optical Physics","Physics","Lecture Videos, Problem Sets, Instructor Insights","2013","8.422","Spring 2013","Graduate"
"https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/","Linear Algebra","Prof. Gilbert Strang","Mathematics, Linear Algebra","Mathematics","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Instructor Insights","2010","18.06","Spring 2010","Undergraduate"
"https://ocw.mit.edu/courses/6-858-computer-systems-security-fall-2014/","Computer Systems Security","Prof. Nickolai Zeldovich","Engineering, Computer Science, Computer Design and Engineering, Software Design and Engineering","Electrical Engineering and Computer Science","Lecture Videos, Exams with Solutions, Lecture Notes, Projects with Examples","2014","6.858","Fall 2014","Graduate"
"https://ocw.mit.edu/courses/es-s41-speak-italian-with-your-mouth-full-spring-2012/","Speak Italian With Your Mouth Full","Dr. Paola Rebusco, Graham Gordon Ramsay","Humanities, Language, Italian, Society, European and Russian Studies","Experimental Study Group","Lecture Videos, Activity Assignments, Instructor Insights","2012","ES.S41","Spring 2012","Undergraduate"
"https://ocw.mit.edu/courses/4-241j-theory-of-city-form-spring-2013/","Theory of City Form","Prof. Julian Beinart","Fine Arts, Architecture, Architectural Design, Social Science, Sociology, Community Development, Urban Studies","Architecture, Urban Studies and Planning","Lecture Videos, Lecture Notes, Written Assignments with Examples, Instructor Insights","2013","4.241J","Spring 2013","Graduate"
"https://ocw.mit.edu/courses/res-8-004-reducing-the-danger-of-nuclear-weapons-and-proliferation-january-iap-2015/","Reducing the Danger of Nuclear Weapons and Proliferation","Aron M Bernstein, Vipin Narang","Engineering, Nuclear Engineering, Nuclear Systems, Policy, and Economics, Humanities, History, History of Science and Technology, Military History, Social Science, Political Science, International Relations, Public Administration, Science and Technology Policy, Security Studies","Supplemental Resources","Lecture Videos, Lecture Notes","2015","RES.8-004","January IAP 2015","Graduate"
"https://ocw.mit.edu/courses/20-010j-introduction-to-bioengineering-be-010j-spring-2006/","Introduction to Bioengineering (BE.010J)","Prof. Douglas Lauffenburger, Prof. Paul T. Matsudaira, Biological Engineering Faculty, Prof. Angela M. Belcher","Engineering, Biological Engineering, Science, Biology, Cell Biology, Computation and Systems Biology, Molecular Biology","Biological Engineering, Mechanical Engineering, Electrical Engineering and Computer Science, Biology, Chemical Engineering","Lecture Videos, Lecture Notes","2006","20.010J","Spring 2006","Undergraduate"
"https://ocw.mit.edu/courses/res-18-008-calculus-revisited-complex-variables-differential-equations-and-linear-algebra-fall-2011/","Calculus Revisited: Complex Variables, Differential Equations, and Linear Algebra","Prof. Herbert Gross","Mathematics, Calculus, Differential Equations, Linear Algebra","Supplemental Resources","Lecture Videos, Problem Sets with Solutions, Lecture Notes","2011","RES.18-008","Fall 2011","Undergraduate"
"https://ocw.mit.edu/courses/21m-304-writing-in-tonal-forms-ii-spring-2009/","Writing in Tonal Forms II","Prof. Charles Shadle","Fine Arts, Music, Music History, Music Performance, Music Theory","Music and Theater Arts","Lecture Videos, Projects with Examples, Music, Media Assignments with Examples","2009","21M.304","Spring 2009","Undergraduate"
"https://ocw.mit.edu/courses/21m-342-composing-for-jazz-orchestra-fall-2008/","Composing for Jazz Orchestra","Dr. Mark Harvey","Fine Arts, Music, Music History, Music Performance, Music Theory","Music and Theater Arts","Lecture Videos, Projects with Examples, Music, Activity Assignments","2008","21M.342","Fall 2008","Undergraduate"
"https://ocw.mit.edu/courses/3-012sx-structure-of-materials-spring-2019/","Structure of Materials","Prof. Silvija Gradecak","Engineering, Materials Science and Engineering","Materials Science and Engineering","Lecture Videos, Exams with Solutions","2019","3.012Sx","Spring 2019","Undergraduate"
"https://ocw.mit.edu/courses/8-701-introduction-to-nuclear-and-particle-physics-fall-2020/","Introduction to Nuclear and Particle Physics","Prof. Markus  Klute","Science, Physics, Nuclear Physics, Particle Physics","Physics","Lecture Videos, Problem Sets with Solutions, Lecture Notes, Presentation Assignments","2020","8.701","Fall 2020","Graduate"
"https://ocw.mit.edu/courses/3-15x-electrical-optical-and-magnetic-materials-and-devices-spring-2020/","Electrical, Optical, and Magnetic Materials and Devices","Prof. Caroline Ross","Engineering, Electrical Engineering, Electronics, Materials Science and Engineering, Electronic Materials, Science, Physics, Electromagnetism","Materials Science and Engineering","Lecture Videos","2020","3.15x","Spring 2020","Undergraduate"
"https://ocw.mit.edu/courses/18-102-introduction-to-functional-analysis-spring-2021/","Introduction to Functional Analysis","Dr. Casey Rodriguez","Mathematics, Linear Algebra, Mathematical Analysis","Mathematics","Problem Sets, Exams, Lecture Notes, Lecture Videos","2021","18.102","Spring 2021","Undergraduate"
"https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/","Introduction to Algorithms","Prof. Erik Demaine, Dr. Jason Ku, Prof. Justin Solomon","Engineering, Computer Science, Algorithms and Data Structures, Theory of Computation, Mathematics, Computation","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Lecture Notes","2020","6.006","Spring 2020","Undergraduate"
"https://ocw.mit.edu/courses/14-13-psychology-and-economics-spring-2020/","Psychology and Economics","Prof. Frank Schilbach","Social Science, Economics, Psychology","Economics","Lecture Videos, Problem Sets with Solutions, Lecture Notes, Exams with Solutions","2020","14.13","Spring 2020","Undergraduate, Graduate"
"https://ocw.mit.edu/courses/18-100a-real-analysis-fall-2020/","Real Analysis","Dr. Casey Rodriguez","Mathematics, Calculus, Mathematical Analysis","Mathematics","Lecture Notes, Lecture Videos, Exams, Problem Sets","2020","18.100A","Fall 2020","Undergraduate, Graduate"
"https://ocw.mit.edu/courses/11-969-workshop-on-deliberative-democracy-and-dispute-resolution-summer-2005/","Workshop on Deliberative Democracy and Dispute Resolution","Prof. Carrie Menkel-Meadow, Prof. David Booher, Prof. John Forester, Prof. Judy Innes, Prof. Lawrence Susskind","Humanities, Philosophy, Political Philosophy, Social Science, Political Science, Public Administration, Public Policy","Urban Studies and Planning","Lecture Videos, Lecture Notes, Activity Assignments","2005","11.969","Summer 2005","Graduate"
"https://ocw.mit.edu/courses/18-02-multivariable-calculus-fall-2007/","Multivariable Calculus","Prof. Denis Auroux","Mathematics, Calculus, Differential Equations, Linear Algebra","Mathematics","Lecture Videos, Problem Sets, Exams with Solutions, Lecture Notes","2007","18.02","Fall 2007","Undergraduate"
"https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/","Introduction to Solid State Chemistry","Prof. Donald Sadoway","Engineering, Chemical Engineering, Materials Science and Engineering, Science, Chemistry","Materials Science and Engineering","Course Introduction, Exams with Solutions, Lecture Notes, Lecture Videos, Problem Sets with Solutions, Recitation Videos, Exams, Problem Sets, Exam Materials","2010","3.091SC","Fall 2010","Undergraduate"
"https://ocw.mit.edu/courses/6-s980-machine-learning-for-inverse-graphics-fall-2022/","Machine Learning for Inverse Graphics","Prof. Vincent Sitzmann","Engineering, Computer Science, Artificial Intelligence, Graphics and Visualization","Electrical Engineering and Computer Science","Lecture Notes, Lecture Videos, Programming Assignments","2022","6.S980","Fall 2022","Graduate"
"https://ocw.mit.edu/courses/res-21m-001-heavy-metal-101-january-iap-2123/","Heavy Metal 101","Joe Diaz","Fine Arts, Music, Music History, Music Theory","Music and Theater Arts, Supplemental Resources","Lecture Videos, Demonstration Audio","RES.21M-001","January IAP 2123","Non Credit"
"https://ocw.mit.edu/courses/15-084j-nonlinear-programming-spring-2004/","Nonlinear Programming","Prof. Robert Freund","Engineering, Systems Engineering, Systems Optimization, Mathematics, Applied Mathematics","Sloan School of Management, Electrical Engineering and Computer Science","Lecture Videos, Lecture Notes","2004","15.084J","Spring 2004","Graduate"
"https://ocw.mit.edu/courses/6-890-algorithmic-lower-bounds-fun-with-hardness-proofs-fall-2014/","Algorithmic Lower Bounds: Fun with Hardness Proofs","Prof. Erik Demaine","Engineering, Computer Science, Algorithms and Data Structures, Theory of Computation, Mathematics, Computation","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets with Solutions, Lecture Notes, Projects, Instructor Insights","2014","6.890","Fall 2014","Graduate"
"https://ocw.mit.edu/courses/6-s095-programming-for-the-puzzled-january-iap-2018/","Programming for the Puzzled","Prof. Srini Devadas","Engineering, Computer Science, Algorithms and Data Structures, Programming Languages","Electrical Engineering and Computer Science","Lecture Videos, Programming Assignments with Examples","2018","6.S095","January IAP 2018","Undergraduate"
"https://ocw.mit.edu/courses/6-450-principles-of-digital-communications-i-fall-2006/","Principles of Digital Communications I","Prof. Lizhong Zheng, Prof. Robert Gallager","Engineering, Electrical Engineering, Digital Systems, Telecommunications","Electrical Engineering and Computer Science","Lecture Videos, Problem Sets, Exams with Solutions, Lecture Notes","2006","6.450","Fall 2006","Graduate"
"https://ocw.mit.edu/courses/6-s191-introduction-to-deep-learning-january-iap-2020/","Introduction to Deep Learning","Alexander Amini, Ava Soleimany","Engineering, Computer Science, Artificial Intelligence, Graphics and Visualization, Software Design and Engineering","Electrical Engineering and Computer Science","Lecture Videos","2020","6.S191","January IAP 2020","Undergraduate"
"https://ocw.mit.edu/courses/9-13-the-human-brain-spring-2019/","The Human Brain","Prof. Nancy Kanwisher","Health and Medicine, Sensory-Neural Systems, Science, Biology, Neuroscience, Cognitive Science","Brain and Cognitive Sciences","Lecture Videos, Written Assignments, Lecture Notes, Instructor Insights","2019","9.13","Spring 2019","Undergraduate"
"https://ocw.mit.edu/courses/res-21g-506-kanji-learning-any-time-any-place-for-japanese-vi-spring-2021/","Kanji Learning Any Time, Any Place for Japanese VI","Dr. Takako Aikawa, Dr. Meghan Perdue","Humanities, Language, Japanese","Supplemental Resources","Lecture Videos","2021","RES.21G-506","Spring 2021","Undergraduate"
