"url","title","instructors","topics","departments","resource_types","year","id","date","level"
"https://ocw.mit.edu/courses/22-091-nuclear-reactor-safety-spring-2008/","Nuclear Reactor Safety","Prof. Andrew Kadak","Energy, Nuclear, Engineering, Nuclear Engineering, Nuclear Systems, Policy, and Economics, Science, Physics, Nuclear Physics","Nuclear Science and Engineering","Lecture Notes, Exams, Lecture Videos, Problem Sets, Programming Assignments, Written Assignments","2008","22.091","Spring 2008","Undergraduate, Graduate"
"https://ocw.mit.edu/courses/24-213-philosophy-of-film-fall-2004/","Philosophy of Film","Prof. Irving Singer","Fine Arts, Visual Arts, Film and Video, Humanities, Philosophy","Linguistics and Philosophy","Lecture Videos, Written Assignments with Examples","2004","24.213","Fall 2004","Undergraduate"
"https://ocw.mit.edu/courses/8-421-atomic-and-optical-physics-i-spring-2014/","Atomic and Optical Physics I","Prof. Wolfgang Ketterle","Science, Physics, Atomic, Molecular, Optical Physics","Physics","Lecture Videos, Problem Sets, Exams, Instructor Insights","2014","8.421","Spring 2014","Graduate"
"https://ocw.mit.edu/courses/res-cd-001-leadership-and-empowerment-resources-from-graduate-women-at-mit-gwamit-spring-2012/","Leadership and Empowerment: Resources from Graduate Women at MIT (GWAMIT)","members GWAMIT","Business, Leadership, Society, Women's Studies, Teaching and Education, Higher Education","Supplemental Resources","Lecture Videos","2012","RES.CD-001","Spring 2012","Undergraduate"
"https://ocw.mit.edu/courses/res-18-009-learn-differential-equations-up-close-with-gilbert-strang-and-cleve-moler-fall-2015/","Learn Differential Equations: Up Close with Gilbert Strang and Cleve Moler","Prof. Gilbert Strang, Dr. Cleve Moler","Engineering, Computer Science, Programming Languages, Mathematics, Applied Mathematics, Differential Equations, Linear Algebra","Supplemental Resources","Lecture Videos","2015","RES.18-009","Fall 2015","Undergraduate"
"https://ocw.mit.edu/courses/22-01-introduction-to-nuclear-engineering-and-ionizing-radiation-fall-2016/","Introduction to Nuclear Engineering and Ionizing Radiation","Prof. Michael Short","Engineering, Nuclear Engineering, Science, Physics, Nuclear Physics","Nuclear Science and Engineering","Lecture Videos, Problem Sets with Solutions, Exams with Solutions, Instructor Insights","2016","22.01","Fall 2016","Undergraduate"
"https://ocw.mit.edu/courses/24-209-philosophy-in-film-and-other-media-spring-2004/","Philosophy In Film and Other Media","Prof. Irving Singer","Fine Arts, Media Studies, Visual Arts, Film and Video, Humanities, Literature, Philosophy","Linguistics and Philosophy","Lecture Videos, Written Assignments with Examples","2004","24.209","Spring 2004","Undergraduate"
"https://ocw.mit.edu/courses/22-033-nuclear-systems-design-project-fall-2011/","Nuclear Systems Design Project","Prof. Michael Short","Business, Project Management, Energy, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Nuclear Engineering, Nuclear Systems, Policy, and Economics, Systems Engineering, Systems Design, Science, Physics, Nuclear Physics","Nuclear Science and Engineering","Lecture Videos, Other Video, Lecture Notes, Projects with Examples, Written Assignments with Examples, Instructor Insights","2011","22.033","Fall 2011","Undergraduate, Graduate"
"https://ocw.mit.edu/courses/16-687-private-pilot-ground-school-january-iap-2019/","Private Pilot Ground School","Dr. Philip Greenspun, Dr. Tina Srivastava","Engineering, Aerospace Engineering","Aeronautics and Astronautics","Lecture Videos, Lecture Notes, Instructor Insights","2019","16.687","January IAP 2019","Undergraduate"
"https://ocw.mit.edu/courses/9-04-sensory-systems-fall-2013/","Sensory Systems","Prof. Peter H. Schiller, Prof. M. Christian Brown","Health and Medicine, Anatomy and Physiology, Sensory-Neural Systems, Science, Biology, Neurobiology, Neuroscience","Brain and Cognitive Sciences","Lecture Videos, Lecture Notes, Written Assignments, Instructor Insights","2013","9.04","Fall 2013","Undergraduate"
